# Freq[MHz]    T_sys[K]    A_effective/T[m^2/K]
3.508000000000000114e+02 7.476599844000000417e+01 2.208000000000000185e+00
3.673000000000000114e+02 6.875179212999999834e+01 2.423999999999999932e+00
3.846000000000000227e+02 6.339793115999999884e+01 2.648000000000000131e+00
4.026999999999999886e+02 5.863869277999999952e+01 2.879000000000000004e+00
4.216999999999999886e+02 5.439152820999999705e+01 3.113999999999999879e+00
4.416000000000000227e+02 5.060841476000000227e+01 3.353000000000000203e+00
4.623999999999999773e+02 4.724370909999999668e+01 3.593999999999999861e+00
4.841999999999999886e+02 4.424233695000000210e+01 3.837000000000000188e+00
5.070000000000000000e+02 4.157135276000000346e+01 4.078000000000000291e+00
5.308999999999999773e+02 3.919094218000000041e+01 4.315999999999999837e+00
5.558999999999999773e+02 3.707740499999999884e+01 4.549999999999999822e+00
5.821000000000000227e+02 3.520228486999999973e+01 4.778999999999999915e+00
6.095000000000000000e+02 3.354901467999999909e+01 5.000000000000000000e+00
6.382999999999999545e+02 3.209335872999999850e+01 5.208999999999999631e+00
6.682999999999999545e+02 3.083456204999999883e+01 5.403999999999999915e+00
6.997999999999999545e+02 2.975155153000000041e+01 5.581000000000000405e+00
7.327999999999999545e+02 2.884037380999999911e+01 5.737000000000000099e+00
7.673999999999999773e+02 2.809612276000000008e+01 5.868999999999999773e+00
8.035000000000000000e+02 2.751983312000000126e+01 5.971000000000000085e+00
8.413999999999999773e+02 2.710822573000000091e+01 6.036999999999999922e+00
8.810000000000000000e+02 2.686643716000000026e+01 6.072000000000000064e+00
9.226000000000000227e+02 2.679897620999999930e+01 6.070999999999999730e+00
9.661000000000000227e+02 2.691464270000000170e+01 6.040482188000000363e+00
1.012000000000000000e+03 2.722683010000000081e+01 5.971221005000000304e+00
1.059000000000000000e+03 2.773498109999999883e+01 5.861818301999999647e+00
